???,?????,??????????,???????,??????? ??????????????,????????????,???????????,??????,????? ???????? ??????????,??????? ???????? ??????????,????? ???????????? ??????????,??????? ??????????? ??????????,?????
track216,0,33,0,0,0,0,0,0,0,0,0,0
track217,3660,22,1140,166.3636364,2280,0,2280,6654.545455,302.4793388,6493909.091,543.3025731,3660
track218,1080,9,0,120,1080,0,1080,1920,213.3333333,1036800,339.411255,1080
track219,11280,15,0,752,11280,0,11280,21056,1403.733333,118755840,2813.726355,11280
track220,0,6,0,0,0,0,0,0,0,0,0,0
track221,11760,27,0,435.5555556,5880,0,5880,20426.66667,756.5432099,45673866.67,1300.624731,11760
track222,6420,26,1299.5,246.9230769,3821,0,3821,11852.30769,455.8579882,19769595.85,871.9914398,6420
track223,2340,17,2340,137.6470588,2340,0,2340,4404.705882,259.100346,5153505.882,550.5882353,2340
track224,0,16,0,0,0,0,0,0,0,0,0,0
track225,15900,18,0,883.3333333,15180,0,15180,28593.33333,1588.518519,216761800,3470.204925,15900
track226,14340,33,0,434.5454545,13020,0,13020,26941.81818,816.4187328,165031418.2,2236.280856,14340
track227,0,5,0,0,0,0,0,0,0,0,0,0
track228,9840,18,1290,546.6666667,3761,0,3761,16160,897.7777778,26854362,1221.437268,9840
track229,3701,17,0,217.7058824,3701,0,3701,6966.588235,409.799308,12891671.53,870.8235294,3701
track230,0,9,0,0,0,0,0,0,0,0,0,0
track231,0,3,0,0,0,0,0,0,0,0,0,0
track232,0,11,0,0,0,0,0,0,0,0,0,0
track233,16920,33,0,512.7272727,13560,0,13560,29738.18182,901.1570248,179079054.5,2329.514545,16920
track234,24120,22,0,1096.363636,20700,0,20700,43854.54545,1993.38843,413742109.1,4336.641501,24120
track235,0,9,0,0,0,0,0,0,0,0,0,0
track236,6600,15,0,440,3821,0,3821,10080,672,14982002,999.3998866,6600
track237,0,6,0,0,0,0,0,0,0,0,0,0
track238,4980,27,0,184.4444444,2460,0,2460,8982.222222,332.6748971,10907466.67,635.5944044,4980
track239,25020,26,0,962.3076923,25020,0,25020,48115.38462,1850.591716,601923461.5,4811.538462,25020
track240,1080,17,0,63.52941176,1080,0,1080,2032.941176,119.5847751,1097788.235,254.1176471,1080
track241,0,16,0,0,0,0,0,0,0,0,0,0
track242,22560,18,0,1253.333333,14280,0,14280,37600,2088.888889,213097600,3440.749272,22560
track243,9840,33,0,298.1818182,8880,0,8880,18487.27273,560.2203857,76841890.91,1525.956142,9840
track244,0,5,0,0,0,0,0,0,0,0,0,0
track245,13260,18,810,736.6666667,9420,0,9420,20626.66667,1145.925926,84073000,2161.185374,13260
track246,5621,17,3240,330.6470588,3240,0,3240,9258.117647,544.5951557,12720233.88,865.0139027,5621
track247,2280,9,0,253.3333333,2280,0,2280,4053.333333,450.3703704,4620800,716.5348716,2280
track248,0,3,0,0,0,0,0,0,0,0,0,0
track249,0,11,0,0,0,0,0,0,0,0,0,0
track250,2520,33,0,76.36363636,2520,0,2520,4887.272727,148.0991736,6157963.636,431.9779609,2520
track251,7020,22,0,319.0909091,7020,0,7020,13401.81818,609.1735537,47040381.82,1462.258244,7020
track252,2880,9,0,320,2880,0,2880,5120,568.8888889,7372800,905.0966799,2880
